InstitutionName,RD2017,Citations,Patents
Alabama State University,2253,2870,#N/A
Birmingham Southern College,0,#N/A,#N/A
Jacksonville State University,3380,1094,1
Miles College,0,#N/A,#N/A
University of North Alabama,0,#N/A,#N/A
Oakwood University,979,#N/A,#N/A
Samford University,#N/A,6181,#N/A
University of South Alabama,41431,179151,25
Troy University,272,10711,#N/A
Tuskegee University,16535,4157,2
University of Alaska Anchorage,20861,#N/A,#N/A
University of Alaska Fairbanks,152694,#N/A,#N/A
University of Alaska Southeast,1621,#N/A,#N/A
Alaska Pacific University,1248,#N/A,#N/A
Thunderbird School of Global Management,0,#N/A,#N/A
Arizona State University,545016,#N/A,264
University of Arizona,#N/A,3253714,176
Grand Canyon University,#N/A,3190,#N/A
Dine College,0,#N/A,#N/A
Northern Arizona University,46253,587418,4
Prescott College,0,#N/A,#N/A
University of Arkansas at Little Rock,6833,#N/A,#N/A
University of Arkansas for Medical Sciences,128508,503073,15
Lyon College,0,#N/A,#N/A
"University of Arkansas, Fayetteville",157791,#N/A,#N/A
Arkansas State University,7952,15211,5
Arkansas Tech University,503,3656,#N/A
University of Central Arkansas,3313,32539,#N/A
Harding University,187,#N/A,#N/A
Hendrix College,480,#N/A,#N/A
John Brown University,212,#N/A,#N/A
Ouachita Baptist University,0,#N/A,#N/A
Philander Smith College,378,#N/A,#N/A
Art Center College of Design,0,#N/A,1
Azusa Pacific University,8430,2324,#N/A
Biola University,1034,#N/A,#N/A
California Institute of Technology,400312,#N/A,2382
California Lutheran University,846,#N/A,#N/A
Alliant International University,0,#N/A,#N/A
"California State Polytechnic University, Pomona",5863,#N/A,#N/A
"University of California, Berkeley",770822,#N/A,#N/A
"University of California, Irvine",361414,#N/A,#N/A
"University of California, Riverside",163632,#N/A,#N/A
"University of California, San Francisco",1409398,#N/A,#N/A
"University of California, Santa Barbara",238246,#N/A,#N/A
"University of California, Santa Cruz",124344,#N/A,#N/A
Chapman University,10626,238692,#N/A
Charles R. Drew University of Medicine and Science,15652,#N/A,1
Claremont Graduate University,11046,102194,#N/A
Claremont McKenna College,5818,19548,#N/A
Western University of Health Sciences,6187,19580,3
Dominican University of California,914,#N/A,#N/A
Fielding Graduate University,0,1004,#N/A
Harvey Mudd College,3748,18673,3
Humboldt State University,15969,29808,#N/A
University of La Verne,#N/A,12299,#N/A
Lincoln University,#N/A,299972,#N/A
La Sierra University,2202,#N/A,#N/A
Loma Linda University,21846,147300,133
Loyola Marymount University,7071,56127,#N/A
Mills College,3353,#N/A,#N/A
National University,0,#N/A,#N/A
Naval Postgraduate School,60386,200922,#N/A
Occidental College,1764,14064,#N/A
Palo Alto University,1459,#N/A,#N/A
University of the Pacific,2155,26022,3
Pepperdine University,2396,44129,1
Pitzer College,837,#N/A,#N/A
Point Loma Nazarene University,168,#N/A,#N/A
Pomona College,3205,25335,#N/A
University of Redlands,505,#N/A,#N/A
San Diego State University,89187,923372,23
University of San Diego,3876,76408,#N/A
San Francisco State University,29940,226683,#N/A
University of San Francisco,2602,85401,#N/A
San Jose State University,39192,#N/A,#N/A
Santa Clara University,2145,#N/A,#N/A
Scripps College,358,#N/A,#N/A
Saint Mary's College of California,#N/A,1700,#N/A
Sonoma State University,765,18911,#N/A
Marshall B. Ketchum University,1512,#N/A,#N/A
University of Southern California,764322,#N/A,736
Claremont School of Theology,248,#N/A,#N/A
Westmont College,261,#N/A,#N/A
Whittier College,1516,#N/A,#N/A
Colorado College,2215,3817,#N/A
Colorado School of Mines,59477,695966,60
Colorado State University,#N/A,1925203,130
University of Denver,22289,379888,3
Fort Lewis College,916,1584,#N/A
Colorado Mesa University,353,#N/A,#N/A
Metropolitan State University of Denver,#N/A,10617,#N/A
University of Northern Colorado,4538,32626,#N/A
Regis University,661,#N/A,#N/A
University of Bridgeport,726,8175,#N/A
Central Connecticut State University,995,#N/A,#N/A
Connecticut College,1875,3350,1
University of Connecticut,267647,2060423,338
Eastern Connecticut State University,1228,6368,#N/A
Fairfield University,8749,23704,2
Hartford Seminary,420,#N/A,#N/A
University of Hartford,1801,9559,3
University of New Haven,5005,25221,#N/A
Quinnipiac University,1036,#N/A,#N/A
Sacred Heart University,#N/A,13773,#N/A
Southern Connecticut State University,2493,13368,#N/A
Trinity College,#N/A,8305,#N/A
United States Coast Guard Academy,644,#N/A,#N/A
Wesleyan University,8945,118487,#N/A
Western Connecticut State University,414,1231,#N/A
Yale University,951084,6188932,506
Delaware State University,20793,5310,#N/A
University of Delaware,183428,2189140,305
American University,56034,#N/A,#N/A
Catholic University of America,#N/A,#N/A,25
University of the District of Columbia,3733,3696,#N/A
Gallaudet University,7603,2953,#N/A
"George Washington University, The",245519,#N/A,#N/A
Georgetown University,212319,#N/A,201
Howard University,45768,94698,18
Barry University,450,#N/A,#N/A
University of Central Florida,233702,1340105,544
Eckerd College,809,2656,#N/A
Florida Agricultural and Mechanical University,37578,#N/A,16
Florida Atlantic University,46025,728395,162
AdventHealth University,#N/A,18888,#N/A
Florida Institute of Technology,18180,155549,13
Florida International University,177292,#N/A,17
Florida State University,282901,2019683,306
University of Florida,801418,4357312,1238
Jacksonville University,649,2339,#N/A
University of Miami,367877,2143192,159
University of North Florida,6476,104902,8
Nova Southeastern University,22508,145325,3
Rollins College,543,9913,#N/A
University of South Florida,#N/A,1800731,587
Stetson University,334,9030,#N/A
Agnes Scott College,313,#N/A,#N/A
Albany State University,1393,#N/A,#N/A
Clark Atlanta University,8007,#N/A,#N/A
Berry College,409,3183,#N/A
Clayton State University,#N/A,2346,#N/A
Columbus State University,0,3793,#N/A
Emory University,664888,3742298,354
Fort Valley State University,5374,#N/A,#N/A
Georgia College & State University,#N/A,7677,#N/A
Georgia Southern University,16084,134343,#N/A
Georgia State University,200171,1208199,28
University of Georgia,455432,1804,327
Kennesaw State University,9510,225259,#N/A
Life University,179,#N/A,#N/A
Georgia Health Sciences University,0,#N/A,51
Mercer University,29447,38622,7
Morehouse College,3667,#N/A,#N/A
Morehouse School of Medicine,36925,12682,17
North Georgia College & State University,2064,#N/A,#N/A
Paine College,270,#N/A,#N/A
Savannah State University,1407,#N/A,#N/A
Spelman College,2079,1286,6
Southern Polytechnic State University,0,#N/A,#N/A
Valdosta State University,384,9332,1
University of West Georgia,510,26682,#N/A
University of Hawaii at Hilo,7008,#N/A,#N/A
University of Hawaii at Manoa,292021,#N/A,#N/A
Hawaii Pacific University,2175,#N/A,#N/A
Boise State University,34992,223770,21
Idaho State University,18564,164146,7
University of Idaho,109537,467074,108
Lewis-Clark State College,378,#N/A,#N/A
Northwest Nazarene University,696,#N/A,#N/A
Bradley University,1839,27375,3
Midwestern University,9207,29042,#N/A
Chicago State University,1861,#N/A,#N/A
University of Chicago,#N/A,#N/A,634
Columbia College Chicago,0,#N/A,#N/A
DePaul University,8561,#N/A,#N/A
Eastern Illinois University,901,9343,#N/A
Governors State University,655,#N/A,#N/A
Rosalind Franklin University of Medicine and Science,17006,37582,8
University of Illinois Chicago,#N/A,1963835,#N/A
Benedictine University,0,#N/A,#N/A
Illinois College of Optometry,329,#N/A,#N/A
Illinois Wesleyan University,0,1967,#N/A
Illinois Institute of Technology,32659,463970,112
Illinois State University,20080,#N/A,6
Lake Forest College,488,#N/A,2
Loyola University Chicago,39738,288208,#N/A
National University of Health Sciences,0,#N/A,#N/A
North Central College,358,#N/A,#N/A
Northern Illinois University,19150,214156,31
Northwestern University,751809,#N/A,668
Northeastern Illinois University,1403,7929,#N/A
Roosevelt University,0,#N/A,#N/A
Dominican University,198,#N/A,#N/A
Rush University,74062,#N/A,17
Southern Illinois University Edwardsville,17393,65147,#N/A
Western Illinois University,2006,21746,#N/A
Ball State University,8797,79935,7
Butler University,525,13519,1
DePauw University,327,#N/A,#N/A
Earlham College,603,#N/A,#N/A
University of Evansville,389,1434,#N/A
University of Indianapolis,#N/A,6568,#N/A
University of Southern Indiana,0,7716,#N/A
Indiana State University,1284,20512,1
Indiana University Bloomington,#N/A,2091863,#N/A
Indiana University Northwest,#N/A,1331,#N/A
Indiana Wesleyan University,615,#N/A,#N/A
University of Notre Dame,212823,1781643,89
Purdue University Northwest,#N/A,10436,#N/A
Rose-Hulman Institute of Technology,862,#N/A,4
Taylor University,212,#N/A,#N/A
Valparaiso University,3083,4770,#N/A
Wabash College,392,#N/A,1
Coe College,546,#N/A,#N/A
Cornell College,510,#N/A,#N/A
Drake University,1215,13257,#N/A
Grinnell College,4953,8195,#N/A
University of Iowa,494280,2820010,538
Luther College,838,#N/A,#N/A
University of Northern Iowa,3303,52796,#N/A
Emporia State University,367,1294,#N/A
Fort Hays State University,913,#N/A,#N/A
Haskell Indian Nations University,0,#N/A,#N/A
University of Kansas,300319,1277041,190
Kansas State University,196478,27147,213
Pittsburg State University,2255,4567,9
Wichita State University,78514,96908,8
Bellarmine University,0,#N/A,#N/A
Berea College,0,#N/A,#N/A
Centre College,498,#N/A,#N/A
Eastern Kentucky University,1248,9470,#N/A
Kentucky State University,7412,#N/A,#N/A
University of Kentucky,378374,1572357,491
University of Louisville,177588,831527,85
Morehead State University,2860,#N/A,#N/A
Murray State University,2459,13767,#N/A
