InstitutionName,RD2017,RDRank,Citations,PatentsTOP250orALL,PatentsRank,ResearchRank,NationalRank
A.T. Still University of Health Sciences,#N/A,0,#N/A,1,248,#N/A,#N/A
Abilene Christian University,634,477,2966,#N/A,0,#N/A,#N/A
Adelphi University,347,550,51739,3,201,#N/A,#N/A
AdventHealth University,#N/A,0,18888,#N/A,0,#N/A,#N/A
Agnes Scott College,313,558,#N/A,#N/A,0,#N/A,#N/A
Air Force Institute of Technology,35733,131,34594,#N/A,0,#N/A,#N/A
Alabama State University,2253,319,2870,#N/A,0,#N/A,#N/A
Alaska Pacific University,1248,392,#N/A,#N/A,0,#N/A,#N/A
Albany Medical College,20443,157,37621,39,113,1123,255
Albany State University,1393,382,#N/A,#N/A,0,#N/A,#N/A
Albert Einstein College of Medicine,289685,41,91404,#N/A,0,#N/A,#N/A
Albion College,1074,402,#N/A,#N/A,0,#N/A,#N/A
Alcorn State University,16129,173,#N/A,1,247,#N/A,#N/A
Alfred University,3231,289,1732,41,109,#N/A,#N/A
Allegheny College,1243,394,#N/A,#N/A,0,#N/A,#N/A
Alliant International University,0,0,#N/A,#N/A,0,#N/A,#N/A
Alverno College,213,580,#N/A,1,268,#N/A,#N/A
American Samoa Community College,975,416,#N/A,#N/A,0,#N/A,#N/A
American University,56034,115,#N/A,#N/A,0,985,218
Amherst College,4070,266,31129,#N/A,0,-,117
Andrews University,966,418,#N/A,#N/A,0,#N/A,#N/A
Angelo State University,807,443,#N/A,#N/A,0,#N/A,#N/A
Antioch College,#N/A,0,#N/A,1,271,-,207
Appalachian State University,4475,259,131849,2,218,1568,315
Arcadia University,566,487,1252,#N/A,0,#N/A,#N/A
Arizona State University,545016,19,#N/A,264,45,141,67
Arkansas State University,7952,216,15211,5,172,#N/A,#N/A
Arkansas Tech University,503,501,3656,#N/A,0,#N/A,#N/A
Art Center College of Design,0,0,#N/A,1,226,#N/A,#N/A
Ashland University,0,0,2281,#N/A,0,#N/A,#N/A
Augusta University,#N/A,0,#N/A,#N/A,0,658,174
Austin College,365,543,#N/A,#N/A,0,#N/A,#N/A
Austin Peay State University,2134,326,1419,#N/A,0,#N/A,#N/A
Azusa Pacific University,8430,213,2324,#N/A,0,#N/A,#N/A
Babson College,1849,345,80402,#N/A,0,-,220
Ball State University,8797,209,79935,7,163,1389,279
Bank Street College of Education,0,0,#N/A,#N/A,0,#N/A,#N/A
Bard College,228,579,12744,#N/A,0,#N/A,#N/A
Barnard College,3730,273,#N/A,#N/A,0,#N/A,#N/A
Barry University,450,517,#N/A,#N/A,0,#N/A,#N/A
Bastyr University,464,513,#N/A,#N/A,0,#N/A,#N/A
Bates College,1853,344,7780,#N/A,0,#N/A,#N/A
Bay Atlantic University,#N/A,0,220959,#N/A,0,#N/A,#N/A
Baylor College of Medicine,604952,18,#N/A,319,40,124,57
Baylor University,29400,141,431034,386,30,475,138
Baylor University Medical Center,#N/A,0,#N/A,1,269,#N/A,#N/A
Bellarmine University,0,0,#N/A,#N/A,0,#N/A,#N/A
Belmont University,#N/A,0,5757,#N/A,0,#N/A,#N/A
Beloit College,289,559,#N/A,7,167,#N/A,#N/A
Bemidji State University,0,0,#N/A,#N/A,0,#N/A,#N/A
Benedict College,1676,356,#N/A,#N/A,0,#N/A,#N/A
Benedictine University,0,0,#N/A,#N/A,0,#N/A,#N/A
Bentley University,562,489,105658,#N/A,0,#N/A,#N/A
Berea College,0,0,#N/A,#N/A,0,#N/A,#N/A
Berry College,409,527,3183,#N/A,0,#N/A,#N/A
Biola University,1034,407,#N/A,#N/A,0,#N/A,#N/A
